İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Yakıt Tipi,Yetkili Ofis,Cephe,Site İçerisinde,Depozito,Krediye Uygunluk,Tapu Durumu,Takas
95585-1678,30-03-2023,None,None,2 + 1,"
                          55 m2
                        ",Yüksek Giriş,5 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,75 TL,Doğalgaz,Evet,"Kuzey, Güney",,20.000 TL,,,
81137-8092,26-03-2023,None,None,2 + 1,"
                          101 m2
                        ",17. Kat,2 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,Avangart İstanbul Rezidans,,,,
31474-202,30-03-2023,None,None,1 + 1,"
                          40 m2
                        ",Ara Kat,40 Yaşında,Klima,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Elektrik,,,,,,,
111551-1517,24-03-2023,None,None,2 + 1,"
                          85 m2
                        ",3. Kat,32 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,10.000 TL,,,
56554-2848,29-03-2023,None,None,2 + 1,"
                          85 m2
                        ",3. Kat,32 Yaşında,Kombi,5 Katlı,,1,Betonarme,İkinci El,Boş,,Doğalgaz,,Güney,,,,,
18707-15904,27-03-2023,None,None,3 + 1,"
                          170 m2
                        ",Bahçe Katı,31 Yaşında,Merkezi,5 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,600 TL,Doğalgaz,Evet,,,30.000 TL,,,
45495-2734,27-03-2023,None,None,2 + 1,"
                          90 m2
                        ",1. Kat,36 Yaşında,Kombi,10 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,20.000 TL,,,
20825-2528,30-03-2023,None,None,1 + 1,"
                          81 m2
                        ",15. Kat,10 Yaşında,Klima,16 Katlı,Eşyalı,1,Betonarme,İkinci El,Kiracılı,1.200 TL,Doğalgaz,Evet,Doğu,Mng Blueboutique,20.000 TL,,,
128930-377,31-03-2023,None,None,2 + 1,"
                          75 m2
                        ",1. Kat,30 Yaşında,Kombi,4 Katlı,,1,Betonarme,İkinci El,Boş,40 TL,Doğalgaz,Evet,Doğu,,10.000 TL,,,
54562-574,24-03-2023,None,None,2 + 1,"
                          110 m2
                        ",Yüksek Giriş,4 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Doğu,,1 TL,,,
19873-6744,30-03-2023,None,None,3 + 1,"
                          140 m2
                        ",3. Kat,20 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,150 TL,Doğalgaz,Evet,"Güney, Batı",,35.000 TL,,,
129423-205,29-03-2023,None,None,3 + 1,"
                          180 m2
                        ",8. Kat,25 Yaşında,Kombi,14 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Evet,Güney,,,,,
78519-8275,31-03-2023,None,None,2 + 1,"
                          150 m2
                        ",4. Kat,28 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,,"Güney, Doğu, Batı",,16.000 TL,,,
135274-61,27-03-2023,None,None,2 + 1,"
                          130 m2
                        ",6. Kat,21 Yaşında,Kombi,6 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,8.500 TL,,,
129971-262,30-03-2023,None,None,1 + 1,"
                          40 m2
                        ",Giriş Katı,5 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,,100 TL,Doğalgaz,Evet,Güney,,10.000 TL,,,
2908-9254,29-03-2023,None,None,1 + 1,"
                          75 m2
                        ",21 ve üzeri,10 Yaşında,Merkezi,24 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,,,,
123075-1545,30-03-2023,None,None,4 + 1,"
                          220 m2
                        ",2. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,,Doğalgaz,,,,,,,
1006-18460,29-03-2023,None,None,3 + 1,"
                          110 m2
                        ",2. Kat,21 Yaşında,Kombi,9 Katlı,Eşyalı,1,,İkinci El,Boş,,Doğalgaz,Evet,,,,Uygun değil,Kat Mülkiyeti,Hayır
45254-3777,25-03-2023,None,None,3 + 1,"
                          145 m2
                        ",6. Kat,38 Yaşında,Merkezi,11 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,Doğalgaz,,"Güney, Doğu, Batı",,,,,
13549-1444,28-03-2023,None,None,2 + 1,"
                          95 m2
                        ",3. Kat,45 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,Doğalgaz,,"Doğu, Batı",,12.500 TL,,,
122142-1446,28-03-2023,None,None,1 + 1,"
                          95 m2
                        ",4. Kat,8 Yaşında,Kombi,17 Katlı,Eşyalı,1,Çelik,İkinci El,Boş,600 TL,Doğalgaz,Evet,"Güney, Doğu",İstanbul Prestij Park,15.000 TL,,,
5632-7905,26-03-2023,None,None,1 + 1,"
                          90 m2
                        ",21 ve üzeri,4 Yaşında,Merkezi,30 Katlı,Eşyalı,1,,,Boş,,,,Güney,Emaar Square,,Uygun değil,,
2915-6847,25-03-2023,None,None,2 + 1,"
                          70 m2
                        ",2. Kat,30 Yaşında,Isıtma Yok,3 Katlı,Eşyalı,1,Betonarme,İkinci El,,,,Evet,Batı,Evet (Site Adı Belirtilmemiş),,,,
38568-7199,31-03-2023,None,None,2 + 1,"
                          85 m2
                        ",1. Kat,39 Yaşında,Merkezi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,200 TL,Doğalgaz,Evet,Doğu,,24.000 TL,,,
3147-3022,31-03-2023,None,None,3 + 1,"
                          130 m2
                        ",2. Kat,30 Yaşında,Kombi,4 Katlı,,1,Betonarme,İkinci El,Mülk Sahibi,,Doğalgaz,,,,22.000 TL,,,
107215-1286,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Ara Kat,43 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,12.000 TL,,,
2831-2531,30-03-2023,None,None,3 + 1,"
                          100 m2
                        ",4. Kat,40 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,350 TL,Doğalgaz,Evet,"Kuzey, Batı",,10.000 TL,,,
18009-3488,30-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Giriş Katı,10 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Güney, Batı",,10.000 TL,,,
