İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Depozito,Yakıt Tipi,Yetkili Ofis,Price,Cephe,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas
1315-4911,01-04-2023,None,None,1 + 1,                          63 m2                        ,3. Kat,28 Yaşında,Merkezi,17 Katlı,Eşyalı,1,Betonarme,İkinci El,Kiracılı,1.077 TL,11.000 TL,Doğalgaz,Evet,9.000TL,"Güney, Batı",,,,
2783-2118,01-04-2023,None,None,2 + 1,                          165 m2                        ,5. Kat,35 Yaşında,Kombi,6 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,78.000 TL,Doğalgaz,Evet,39.000TL,Güney,,,,
31572-2510,01-04-2023,None,None,2 + 1,                          110 m2                        ,3. Kat,50 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,100 TL,24.000 TL,Doğalgaz,Evet,12.000TL,Güney,,,,
134182-37,01-04-2023,None,None,1 + 1,                          60 m2                        ,Bahçe Katı,Sıfır Bina,Kombi,3 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,,Doğalgaz,Evet,9.500TL,,,,,
120955-212,01-04-2023,None,None,2 + 1,                          130 m2                        ,3. Kat,38 Yaşında,Merkezi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,,100 TL,30.000 TL,Doğalgaz,Evet,16.000TL,Güney,,,,
41836-1473,01-04-2023,None,None,3 + 1,                          170 m2                        ,2. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,40 TL,28.000 TL,Doğalgaz,Evet,14.000TL,"Doğu, Batı",,,,
132555-52,01-04-2023,None,None,3 + 1,                          225 m2                        ,4. Kat,35 Yaşında,Merkezi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,200.000 TL,Doğalgaz,Evet,70.000TL,"Kuzey, Doğu, Batı",,,,
131618-96,01-04-2023,None,None,3 + 2,                          200 m2                        ,En Üst Kat,12 Yaşında,Kombi,4 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Mülk Sahibi,100 TL,25.000 TL,Doğalgaz,Evet,17.000TL,"Güney, Doğu",,,,
31383-7533,01-04-2023,None,None,3 + 1,                          140 m2                        ,Bahçe Katı,30 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,40.000TL,"Güney, Batı",,,,
43996-19926,01-04-2023,None,None,1 + 1,                          75 m2                        ,2. Kat,Sıfır Bina,Kombi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,150 TL,30.000 TL,Doğalgaz,Evet,22.000TL,"Güney, Doğu",Evet (Site Adı Belirtilmemiş),,,
28849-11468,01-04-2023,None,None,1 + 1,                          90 m2                        ,14. Kat,10 Yaşında,Merkezi,17 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,400 TL,16.000 TL,Doğalgaz,Evet,7.350TL,"Güney, Batı",,,,
135705-6,01-04-2023,None,None,2 + 1,                          100 m2                        ,3. Kat,Sıfır Bina,Kombi,7 Katlı,Eşyalı Değil,1,,,Boş,,,,,14.250TL,"Kuzey, Batı",,,,
135087-10,01-04-2023,None,None,9 + 1,                          520 m2                        ,En Üst Kat,12 Yaşında,Merkezi,3 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,,,Elektrik,Evet,55.000TL,"Kuzey, Güney, Doğu, Batı",,,,
4355-132763,01-04-2023,None,None,1 + 1,                          65 m2                        ,1. Kat,2 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,250 TL,25.000 TL,Doğalgaz,Evet,12.500TL,Doğu,,,,
132091-128,01-04-2023,None,None,2 + 1,                          95 m2                        ,Teras Katı,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,,24.000 TL,Doğalgaz,Evet,12.000TL,"Kuzey, Güney, Doğu, Batı",,,,
98253-826,01-04-2023,None,None,1 + 1,                          85 m2                        ,5. Kat,2 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,25.000 TL,Doğalgaz,Evet,12.500TL,"Güney, Doğu",,,,
133496-11,01-04-2023,None,None,4 + 1,                          150 m2                        ,Ara Kat,32 Yaşında,Merkezi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,700 TL,25.000 TL,Doğalgaz,Evet,25.000TL,Doğu,,,,
1901-3528,01-04-2023,None,None,4 + 1,                          300 m2                        ,Bahçe Katı,8 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,,300.000 TL,Doğalgaz,,130.000TL,Doğu,,,,
124862-319,01-04-2023,None,None,2 + 1,                          90 m2                        ,1. Kat,12 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.500 TL,30.000 TL,Doğalgaz,Evet,15.000TL,"Güney, Doğu",,,,
130289-26,01-04-2023,None,None,3 + 1,                          120 m2                        ,1. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,800 TL,,Doğalgaz,Evet,30.500TL,Güney,,,,
42003-4287,01-04-2023,None,None,3 + 2,                          155 m2                        ,7. Kat,10 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,750 TL,35.000 TL,Doğalgaz,Evet,15.000TL,"Güney, Doğu, Batı","Turnalife (İstanbul, Pendik, Kurtköy)",,,
33600-49693,01-04-2023,None,None,2 + 1,                          121 m2                        ,7. Kat,17 Yaşında,Merkezi,19 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,9.370 TL,,Doğalgaz,,70.000TL,Güney,,,,
33208-5642,01-04-2023,None,None,2 + 1,                          80 m2                        ,Bahçe Katı,31 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,32.000 TL,Doğalgaz,Evet,16.000TL,Güney,,,,
18825-2456,01-04-2023,None,None,3 + 1,                          135 m2                        ,2. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,18.500 TL,Doğalgaz,Evet,18.500TL,Güney,,,,
63901-2146,01-04-2023,None,None,3 + 1,                          120 m2                        ,Bahçe Katı,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,,,Evet,25.000TL,Güney,,,,
71777-846,01-04-2023,None,None,2 + 1,                          110 m2                        ,Ara Kat,5 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Kiracılı,,,Doğalgaz,Evet,2.000TL,Kuzey,,,,
80027-1075,01-04-2023,None,None,1 + 1,                          110 m2                        ,4. Kat,30 Yaşında,Merkezi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,400 TL,44.000 TL,Doğalgaz,,22.000TL,,,,,
26073-2902,01-04-2023,None,None,2 + 1,                          100 m2                        ,9. Kat,28 Yaşında,Kombi,9 Katlı,Eşyalı,1,Betonarme,İkinci El,,,30.000 TL,Doğalgaz,Evet,13.000TL,"Güney, Doğu",,,,
2467-24232,01-04-2023,None,None,4 + 1,                          198 m2                        ,5. Kat,26 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,70.000 TL,Doğalgaz,Evet,35.500TL,"Güney, Doğu, Batı",,,,
48868-1416,01-04-2023,None,None,2 + 1,                          110 m2                        ,7. Kat,10 Yaşında,Yerden Isıtma,8 Katlı,,2,Betonarme,İkinci El,,1.050 TL,,Doğalgaz,Evet,9.000TL,"Güney, Doğu",,,,
41169-819,01-04-2023,None,None,2 + 1,                          100 m2                        ,2. Kat,40 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,50.000 TL,Doğalgaz,Evet,35.000TL,"Güney, Doğu",,,,
77755-1493,01-04-2023,None,None,2 + 1,                          96 m2                        ,1. Kat,3 Yaşında,Kombi,14 Katlı,Eşyalı,2,Betonarme,,Kiracılı,1.099 TL,,Doğalgaz,Evet,27.490TL,,,,,
118891-150,01-04-2023,None,None,3 + 1,                          130 m2                        ,Bahçe Katı,25 Yaşında,Kombi,1 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,4.500 TL,Doğalgaz,Evet,4.500TL,Güney,,,,
45647-708,01-04-2023,None,None,2 + 1,                          115 m2                        ,1. Kat,85 Yaşında,Kombi,3 Katlı,Eşyalı,1,Kagir,İkinci El,Boş,100 TL,60.000 TL,Doğalgaz,Evet,30.000TL,,,,,
24619-2517,31-03-2023,None,None,2 + 1,                          110 m2                        ,4. Kat,12 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,500 TL,20.000 TL,Doğalgaz,Evet,20.000TL,,,,,
113586-524,01-04-2023,None,None,2 + 1,                          160 m2                        ,2. Kat,4 Yaşında,Kombi,3 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,,,Doğalgaz,Evet,32.000TL,"Güney, Doğu",,,,
110844-4576,01-04-2023,None,None,2 + 1,                          130 m2                        ,5. Kat,9 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,60 TL,20.000 TL,Doğalgaz,Evet,20.000TL,Güney,,,,
34488-4907,01-04-2023,None,None,1 + 1,                          65 m2                        ,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),15 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,13.250 TL,Doğalgaz,Evet,13.250TL,,,,,
73044-4965,01-04-2023,None,None,1 + 0,                          45 m2                        ,11. Kat,9 Yaşında,Kombi,11 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,3 TL,Doğalgaz,Evet,6.000TL,,,,,
7005-1247,01-04-2023,None,None,1 + 1,                          55 m2                        ,1. Kat,Sıfır Bina,Kombi,10 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,300 TL,20.000 TL,Doğalgaz,Evet,18.000TL,"Güney, Doğu",,,,
136619-2,01-04-2023,None,None,2 + 1,                          95 m2                        ,3. Kat,29 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,150 TL,15.000 TL,Doğalgaz,Evet,12.500TL,Kuzey,,,,
132912-15,01-04-2023,None,None,2 + 1,                          110 m2                        ,3. Kat,31 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,38.000 TL,Doğalgaz,Evet,17.000TL,,Emekli Subay Evleri 2 Kısım Sitesi,,,
4535-6209,01-04-2023,None,None,3 + 1,                          130 m2                        ,4. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,15.000 TL,Doğalgaz,,15.000TL,"Güney, Doğu",,,,
1994-2900,01-04-2023,None,None,3 + 1,                          200 m2                        ,Ara Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,19.000 TL,Doğalgaz,,19.000TL,"Kuzey, Güney, Doğu, Batı",,,,
24340-4678,01-04-2023,None,None,3 + 1,                          273 m2                        ,Bahçe Katı,1 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Doğalgaz,Evet,80.000TL,"Kuzey, Doğu",,,,
79202-773,01-04-2023,None,None,3 + 1,                          140 m2                        ,11. Kat,13 Yaşında,Kombi,14 Katlı,Eşyalı Değil,1,,İkinci El,Kiracılı,,,Doğalgaz,,15.000TL,"Güney, Batı",,,,Hayır
4245-6977,01-04-2023,None,None,4 + 1,                          200 m2                        ,Ara Kat,40 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,75.000TL,Güney,,,,
56397-1613,01-04-2023,None,None,2 + 1,                          80 m2                        ,2. Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,,,15.000 TL,Doğalgaz,,10.000TL,"Doğu, Batı",,,,
43372-2387,01-04-2023,None,None,3 + 2,                          200 m2                        ,4. Kat,12 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,26.000 TL,Doğalgaz,Evet,13.000TL,Kuzey,,,,
136873-23,01-04-2023,None,None,2 + 1,                          75 m2                        ,Yüksek Giriş,5 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,6.000 TL,Doğalgaz,Evet,6.000TL,"Kuzey, Güney, Doğu, Batı",,,,
91642-268,01-04-2023,None,None,3 + 1,                          120 m2                        ,Yüksek Giriş,26 Yaşında,Merkezi,7 Katlı,Eşyalı Değil,2,,,Boş,1 TL,,,,15.000TL,"Kuzey, Güney, Batı",,Uygun değil,,
90653-283,01-04-2023,None,None,1 + 1,                          80 m2                        ,3. Kat,12 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Kiracılı,,,Doğalgaz,Evet,18.000TL,"Kuzey, Güney",,,,
81494-558,01-04-2023,None,None,2 + 1,                          100 m2                        ,Bahçe Katı,16 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,8.500 TL,Doğalgaz,,8.500TL,Batı,,,,
76675-703,01-04-2023,None,None,3 + 1,                          130 m2                        ,5. Kat,30 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,75 TL,10.000 TL,Doğalgaz,Evet,10.000TL,Güney,,,,
29795-4866,01-04-2023,None,None,3 + 1,                          200 m2                        ,3. Kat,26 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,,39.000 TL,Doğalgaz,Evet,39.000TL,"Kuzey, Güney, Doğu, Batı",,,,
105836-126,01-04-2023,None,None,2 + 1,                          120 m2                        ,Bahçe Katı,13 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,12.500 TL,Doğalgaz,Evet,12.500TL,"Kuzey, Güney",,,,
28969-1964,01-04-2023,None,None,3 + 1,                          160 m2                        ,5. Kat,47 Yaşında,Merkezi,6 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,300 TL,24.000 TL,Doğalgaz,Evet,24.000TL,"Kuzey, Güney",,,,
30710-297,01-04-2023,None,None,2 + 1,                          100 m2                        ,Yüksek Giriş,31 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,,,Boş,200 TL,,,,25.000TL,"Kuzey, Güney",,Uygun değil,,
96848-2403,01-04-2023,None,None,3 + 1,                          120 m2                        ,4. Kat,33 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,,,Doğalgaz,Evet,8.000TL,Güney,,,,
128786-473,01-04-2023,None,None,2 + 1,                          110 m2                        ,4. Kat,30 Yaşında,Kombi,4 Katlı,,1,Betonarme,,,,,Doğalgaz,,12.000TL,"Güney, Doğu",,,,
91714-680,01-04-2023,None,None,3 + 1,                          120 m2                        ,2. Kat,25 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,16.000 TL,Doğalgaz,Evet,16.000TL,Güney,,,,
1006-18435,01-04-2023,None,None,2 + 1,                          130 m2                        ,11. Kat,4 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Eşyalı Değil,1,,İkinci El,Kiracılı,,,Doğalgaz,Evet,42.000TL,"Güney, Batı",,Uygun değil,Kat Mülkiyeti,Hayır
10656-1239,01-04-2023,None,None,2 + 1,                          95 m2                        ,4. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,15.000 TL,Doğalgaz,Evet,15.500TL,"Güney, Doğu",,,,
8798-2182,01-04-2023,None,None,2 + 1,                          100 m2                        ,Yüksek Giriş,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,15.000 TL,Doğalgaz,Evet,15.000TL,"Kuzey, Güney",,,,
4497-3788,01-04-2023,None,None,2 + 1,                          110 m2                        ,4. Kat,35 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,,,Boş,,12.000 TL,,Evet,12.000TL,,,,,
17993-41775,01-04-2023,None,None,1 + 1,                          40 m2                        ,13. Kat,30 Yaşında,Merkezi,14 Katlı,Eşyalı,1,,,,,,,Evet,14.000TL,Güney,,,,
1191-9587,01-04-2023,None,None,2 + 1,                          75 m2                        ,Yüksek Giriş,7 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,765 TL,22.000 TL,Doğalgaz,Evet,22.000TL,Doğu,,,,
132609-19,31-03-2023,None,None,3 + 1,                          135 m2                        ,4. Kat,25 Yaşında,Kombi,9 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,250 TL,16.000 TL,Doğalgaz,,8.000TL,"Güney, Doğu",,,,
52307-3851,01-04-2023,None,None,1 + 1,                          60 m2                        ,Kot 1,5 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,60 TL,7.000 TL,Doğalgaz,Evet,7.000TL,"Güney, Doğu",,,,
1770-23409,01-04-2023,None,None,1 + 0,                          45 m2                        ,2. Kat,8 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,15.500TL,Doğu,,,,
691747-394,01-04-2023,None,None,2 + 1,                          85 m2                        ,Bahçe Katı,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,6.500TL,"Doğu, Batı",,,,
2845-4182,01-04-2023,None,None,2 + 1,                          90 m2                        ,Bahçe Katı,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,,Doğalgaz,Evet,18.000TL,"Güney, Doğu, Batı",,,,
66267-948,01-04-2023,None,None,1 + 1,                          65 m2                        ,Çatı Katı,5 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,20.000 TL,Doğalgaz,Evet,9.500TL,,,,,
29229-3077,01-04-2023,None,None,2 + 1,                          90 m2                        ,1. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,20.000 TL,Doğalgaz,Evet,10.500TL,"Güney, Doğu",,,,
1200-4157,01-04-2023,None,None,2 + 1,                          110 m2                        ,4. Kat,45 Yaşında,Kombi,5 Katlı,,1,,,Boş,,,Doğalgaz,Evet,25.000TL,,,,,
44825-4993,01-04-2023,None,None,2 + 1,                          130 m2                        ,3. Kat,35 Yaşında,Kombi,8 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,,Doğalgaz,Evet,13.000TL,Doğu,,,,
16829-2446,01-04-2023,None,None,2 + 1,                          100 m2                        ,4. Kat,35 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,200 TL,18.000 TL,Doğalgaz,Evet,18.000TL,Güney,,,,
1691-1262,01-04-2023,None,None,4 + 1,                          240 m2                        ,5. Kat,40 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,650 TL,160.000 TL,Doğalgaz,,80.000TL,Kuzey,,,,
7186-1449,01-04-2023,None,None,3 + 1,                          125 m2                        ,Yüksek Giriş,40 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,30.000TL,"Kuzey, Güney",,,,
21250-1014,01-04-2023,None,None,3 + 1,                          130 m2                        ,7. Kat,30 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,250 TL,20.000 TL,Doğalgaz,Evet,10.000TL,Güney,,,,
1739-6006,01-04-2023,None,None,3 + 1,                          120 m2                        ,Bahçe Katı,30 Yaşında,Kombi,14 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,250 TL,20.000 TL,Doğalgaz,Evet,12.000TL,Güney,Merter Evleri Sitesi,,,
39589-9877,01-04-2023,None,None,3 + 1,                          110 m2                        ,2. Kat,38 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,70 TL,12.000 TL,Doğalgaz,Evet,10.000TL,"Doğu, Batı",,,,
42771-6388,01-04-2023,None,None,3 + 1,                          220 m2                        ,10. Kat,20 Yaşında,Kombi,15 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,2.000 TL,20.000 TL,Doğalgaz,Evet,20.000TL,Güney,Parlamenterler Sitesi,,,
4402-413,01-04-2023,None,None,3 + 1,                          120 m2                        ,4. Kat,29 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,850 TL,38.000 TL,Doğalgaz,Evet,21.000TL,"Güney, Doğu",,,,
6056-12990,01-04-2023,None,None,2 + 1,                          90 m2                        ,Zemin,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,10.000TL,,,,,
4387-1523,01-04-2023,None,None,4 + 1,                          200 m2                        ,3. Kat,35 Yaşında,Klima,4 Katlı,Eşyalı,3,Betonarme,İkinci El,Boş,1.000 TL,30.000 TL,Elektrik,Evet,300.000TL,"Kuzey, Güney, Batı",,,,
37108-3961,31-03-2023,None,None,1 + 1,                          82 m2                        ,Kot 2,Sıfır Bina,Merkezi,10 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,1.500 TL,30.000 TL,Doğalgaz,Evet,15.000TL,,Genyap 7000 Kağıthane,,,
121077-393,01-04-2023,None,None,2 + 1,                          90 m2                        ,Bahçe Katı,12 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,25.000 TL,Doğalgaz,Evet,15.000TL,"Güney, Doğu",,,,
4336-1314,01-04-2023,None,None,3 + 1,                          110 m2                        ,2. Kat,20 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,20.000 TL,Doğalgaz,Evet,15.500TL,"Doğu, Batı",,,,
